✅ intro2 pass
✅ intro1 pass
✅ variables1 pass
✅ variables2 pass
✅ variables3 pass
✅ variables4 pass
✅ variables5 pass
✅ variables6 pass
✅ functions1 pass
✅ functions2 pass
✅ functions3 pass
✅ functions4 pass
✅ functions5 pass
✅ if1 pass
✅ if2 pass
✅ quiz1 pass
✅ primitive_types1 pass
✅ primitive_types2 pass
✅ primitive_types3 pass
✅ primitive_types5 pass
✅ primitive_types4 pass
✅ primitive_types6 pass
✅ vecs1 pass
✅ move_semantics1 pass
✅ vecs2 pass
✅ move_semantics2 pass
✅ move_semantics3 pass
❌ move_semantics5 points 0/1
✅ move_semantics4 pass
❌ structs1 points 0/1
❌ move_semantics6 points 0/1
❌ structs2 points 0/1
❌ structs3 points 0/1
❌ enums1 points 0/1
❌ enums2 points 0/1
❌ enums3 points 0/1
❌ strings2 points 0/1
❌ strings3 points 0/1
❌ strings1 points 0/1
❌ strings4 points 0/1
❌ modules1 points 0/1
❌ modules2 points 0/1
❌ modules3 points 0/1
❌ hashmaps1 points 0/1
❌ hashmaps2 points 0/1
❌ quiz2 points 0/1
❌ hashmaps3 points 0/1
❌ options2 points 0/1
❌ options1 points 0/1
❌ options3 points 0/1
❌ errors2 points 0/1
❌ errors1 points 0/1
❌ errors3 points 0/1
❌ errors5 points 0/1
❌ errors4 points 0/1
❌ generics1 points 0/1
❌ errors6 points 0/1
❌ generics2 points 0/1
❌ traits1 points 0/1
❌ traits2 points 0/1
❌ traits3 points 0/1
❌ traits4 points 0/1
❌ traits5 points 0/1
❌ tests1 points 0/1
❌ tests2 points 0/1
❌ tests3 points 0/1
❌ lifetimes1 points 0/1
❌ quiz3 points 0/1
❌ lifetimes2 points 0/1
❌ lifetimes3 points 0/1
❌ iterators1 points 0/1
❌ iterators2 points 0/1
❌ iterators4 points 0/1
❌ iterators3 points 0/1
❌ iterators5 points 0/1
❌ box1 points 0/1
❌ arc1 points 0/1
❌ rc1 points 0/1
❌ cow1 points 0/1
❌ threads1 points 0/1
❌ threads2 points 0/1
❌ threads3 points 0/1
❌ macros1 points 0/1
❌ macros2 points 0/1
❌ macros3 points 0/1
❌ macros4 points 0/1
❌ clippy1 points 0/1
❌ clippy2 points 0/1
❌ using_as points 0/1
❌ from_into points 0/1
❌ from_str points 0/1
❌ try_from_into points 0/1
❌ as_ref_mut points 0/1
❌ clippy3 points 0/1

Points: 28/94
